#                       ----------------------    BROKEN POWER-LAW    ----------------------    ----  GLOBAL  ----
# NAME   NX lgL50 K         AL1            AL2            lgLX         C  CEXP CVAR PNULL C  CEXP CVAR PNULL
NGC0024    8 36.8 3.76+3.32-2.05 0.89+0.42-0.39 2.22+0.47-0.48 38.2+0.1-0.2  13  15  20  0.650  27  12  42  0.021
NGC0337    6 38.4 5.19+5.84-2.57 0.95+0.61-0.58 1.42+0.25-0.20 40.2+0.2-0.2  20  19  20  0.881  22  16  26  0.234
NGC0584    8 38.4 30.4+23.9-17.2 0.91+0.65-0.56 2.22+0.37-0.45 39.9+0.3-0.3  10  11  14  0.854  13  12  18  0.877
NGC0625    4 36.1 1.45+1.02-0.70 0.32+0.33-0.22 2.04+0.47-0.44 38.2+0.2-0.3  13  16  26  0.501  18  18 112  0.997
NGC0628   51 36.3 4.90+2.05-1.51 1.20+0.16-0.17 2.33+0.43-0.46 38.9+0.1-0.1  25  34  61  0.241  39  43  70  0.658
NGC0925    7 37.5 1.37+0.87-0.55 1.44+0.89-0.68 1.24+0.25-0.15 39.5+0.2-0.2  22  21  22  0.821  25  19  43  0.297
NGC1023   71 36.8   11.6+3.2-2.6 1.20+0.16-0.16 2.12+0.33-0.30 39.5+0.1-0.1  23  34  63  0.164  29  38  77  0.290
NGC1097   29 38.0   14.0+4.6-3.6 0.94+0.65-0.54 1.53+0.12-0.10 40.7+0.1-0.1  30  34  43  0.523  39  27  47  0.063
NGC1291   65 37.1   24.4+5.2-4.6 0.83+0.17-0.17 2.17+0.24-0.21 39.9+0.1-0.1  26  35  61  0.252  30  35  75  0.542
NGC1313   12 36.5 1.91+1.09-0.77 0.46+0.39-0.32 1.52+0.27-0.23 39.3+0.2-0.3  32  31  35  0.876  35  30  57  0.496
NGC1316   84 37.9 64.0+13.5-10.9 0.82+0.52-0.47 1.85+0.17-0.14 40.4+0.1-0.0  23  27  55  0.643  39  31  77  0.374
NGC1380   37 37.6   21.2+5.9-4.7 1.28+0.47-0.45 2.19+0.24-0.21 39.9+0.1-0.1  20  26  43  0.375  24  26  52  0.784
NGC1387   16 37.8   11.9+4.7-3.5 1.01+0.60-0.54 2.06+0.38-0.34 39.5+0.2-0.1  13  20  30  0.229  18  23  41  0.461
NGC1404   74 37.4   23.1+5.4-4.4 1.19+0.27-0.27 1.74+0.17-0.14 40.1+0.1-0.1  26  34  61  0.313  38  33  70  0.531
NGC1433   16 37.8 7.57+3.63-2.45 0.96+0.65-0.56 1.63+0.40-0.31 39.4+0.2-0.1  19  20  30  0.794  25  27  47  0.742
NGC1427   50 37.6   20.1+5.6-4.5 1.69+0.47-0.44 2.24+0.26-0.23 39.9+0.2-0.1  15  26  46  0.112  56  26  39 <0.001
NGC1482    9 37.9 1.30+1.42-0.72 1.02+0.85-0.64 1.30+0.32-0.26 39.7+0.2-0.3  17  18  24  0.983  34  30  36  0.541
NGC1566   31 37.9   10.3+5.1-3.6 0.96+0.65-0.58 1.67+0.21-0.16 40.4+0.2-0.2  27  31  47  0.567  36  32  58  0.612
NGC1569   18 35.4 2.68+2.32-1.31 0.94+0.19-0.20 2.23+0.51-0.50 37.9+0.1-0.2  30  30  25  0.982  49  27  41 <0.001
NGC1672   31 37.6 8.25+2.30-2.07 0.43+0.43-0.30 1.31+0.11-0.10 40.4+0.1-0.1  42  37  40  0.390  52  38  56  0.060
NGC1705    2 36.4  14.0+24.4-9.9 0.32+0.30-0.22 2.18+0.45-0.43 36.7+0.3-0.5   3   8  21  0.293   5  11  37  0.378
MRK1094    4 38.5 26.3+27.0-17.0 0.90+0.66-0.55 2.13+0.38-0.46 39.9+0.3-0.3  11  10  11  0.877  19  10  30  0.100
NGC2403   57 35.8 1.45+0.80-0.52 1.42+0.13-0.14 1.92+0.44-0.42 38.7+0.1-0.2  32  41  61  0.226  49  45  77  0.594
UGC4393    3 37.8 2.01+1.76-0.96 0.99+0.73-0.59 1.67+0.40-0.31 39.2+0.2-0.2  13  12  19  0.853  15   8  31  0.193
UGC0445    1 38.2 2.48+5.08-1.68 1.05+0.67-0.59 2.08+0.53-0.49 39.1+0.4-0.4   8   7  17  0.705   7   8  35  0.880
 He2-10   11 36.5 2.41+1.39-0.94 0.77+0.31-0.38 1.54+0.46-0.37 38.7+0.2-0.2  29  27  25  0.708  33  35  64  0.809
NGC2841   43 37.5   12.7+4.0-3.2 1.73+0.44-0.44 1.83+0.24-0.21 39.8+0.2-0.1  16  27  47  0.123  23  30  61  0.379
NGC2915    2 36.7 1.36+1.06-0.71 0.38+0.42-0.26 2.12+0.46-0.46 38.1+0.2-0.3   9  11  19  0.506  13   8  31  0.363
NGC2976    6 36.7 0.99+0.89-0.50 0.86+0.43-0.48 1.82+0.47-0.39 38.5+0.2-0.3  16  16  23  0.970  19  13  25  0.203
NGC3031  214 36.0   12.2+2.5-2.1 1.23+0.07-0.08 1.77+0.19-0.15 39.8+0.1-0.1  40  54  92  0.156  51  53 109  0.895
  DDO68    3 37.0 0.73+0.96-0.50 0.66+0.55-0.43 2.17+0.46-0.46 37.9+0.3-0.4   9  12  23  0.464  12  21  52  0.227
NGC3115  138 36.1   20.9+3.5-3.2 1.06+0.07-0.06 2.30+0.27-0.26 39.7+0.1-0.1  34  43  84  0.336  42  47 101  0.629
